file_date,date,package,n_unique,n_total
2021-12-12,2021-12-12,A3,25,33
2021-12-12,2021-12-12,aaSEA,7,7
2021-12-12,2021-12-12,AATtools,5,5
2021-12-12,2021-12-12,ABACUS,3,3
2021-12-12,2021-12-12,abbyyR,8,8
2021-12-12,2021-12-12,abc,18,68
2021-12-12,2021-12-12,abc.data,19,69
2021-12-12,2021-12-12,ABC.RAP,4,4
2021-12-12,2021-12-12,abcADM,5,6
2021-12-12,2021-12-12,ABCanalysis,6,6
2021-12-12,2021-12-12,abcdeFBA,8,8
2021-12-12,2021-12-12,ABCoptim,2,2
2021-12-12,2021-12-12,ABCp2,5,5
2021-12-12,2021-12-12,abcrf,5,7
2021-12-12,2021-12-12,abcrlda,4,5
2021-12-12,2021-12-12,abctools,5,5
2021-12-12,2021-12-12,abd,35,38
2021-12-12,2021-12-12,abdiv,12,14
2021-12-12,2021-12-12,abe,3,3
2021-12-12,2021-12-12,abess,12,12
2021-12-12,2021-12-12,abf2,6,6
2021-12-12,2021-12-12,abglasso,3,3
2021-12-12,2021-12-12,ABHgenotypeR,8,8
2021-12-12,2021-12-12,abind,4962,8035
2021-12-12,2021-12-12,abjutils,6,6
2021-12-12,2021-12-12,abmR,2,2
2021-12-12,2021-12-12,abn,4,4
2021-12-12,2021-12-12,abnormality,4,4
2021-12-12,2021-12-12,abodOutlier,8,8
2021-12-12,2021-12-12,ABPS,2,2
2021-12-12,2021-12-12,AbsFilterGSEA,1,1
2021-12-12,2021-12-12,AbSim,2,2
2021-12-12,2021-12-12,abstr,4,4
2021-12-12,2021-12-12,abstractr,4,4
2021-12-12,2021-12-12,abtest,4,4
2021-12-12,2021-12-12,abundant,3,3
2021-12-12,2021-12-12,Ac3net,5,5
2021-12-12,2021-12-12,ACA,1,1
2021-12-12,2021-12-12,academictwitteR,13,16
2021-12-12,2021-12-12,acc,6,6
2021-12-12,2021-12-12,accelerometry,6,7
2021-12-12,2021-12-12,accelmissing,1,1
2021-12-12,2021-12-12,accept,10,10
2021-12-12,2021-12-12,AcceptanceSampling,4,4
2021-12-12,2021-12-12,ACCLMA,2,2
2021-12-12,2021-12-12,accrual,3,3
2021-12-12,2021-12-12,accrued,1,1
2021-12-12,2021-12-12,accSDA,3,3
2021-12-12,2021-12-12,accucor,3,3
2021-12-12,2021-12-12,ACD,4,4
2021-12-12,2021-12-12,ACDm,10,12
2021-12-12,2021-12-12,ace2fastq,5,5
2021-12-12,2021-12-12,acebayes,5,5
2021-12-12,2021-12-12,aceEditor,3,3
2021-12-12,2021-12-12,acepack,89,118
2021-12-12,2021-12-12,ACEsearch,2,3
2021-12-12,2021-12-12,ACEt,4,5
2021-12-12,2021-12-12,acfMPeriod,6,6
2021-12-12,2021-12-12,acid,3,404
2021-12-12,2021-12-12,acled.api,6,6
2021-12-12,2021-12-12,ACMEeqtl,3,3
2021-12-12,2021-12-12,acmeR,4,4
2021-12-12,2021-12-12,ACNE,9,9
2021-12-12,2021-12-12,acnr,5,5
2021-12-12,2021-12-12,acopula,4,4
2021-12-12,2021-12-12,AcousticNDLCodeR,4,5
2021-12-12,2021-12-12,acp,5,5
2021-12-12,2021-12-12,aCRM,9,9
2021-12-12,2021-12-12,acroname,2,2
2021-12-12,2021-12-12,AcrossTic,6,7
2021-12-12,2021-12-12,acrt,3,3
2021-12-12,2021-12-12,acs,29,37
2021-12-12,2021-12-12,ACSNMineR,2,2
2021-12-12,2021-12-12,acss,7,9
2021-12-12,2021-12-12,acss.data,8,10
2021-12-12,2021-12-12,ACSWR,10,12
2021-12-12,2021-12-12,act,4,4
2021-12-12,2021-12-12,ACTCD,5,6
2021-12-12,2021-12-12,ActCR,3,3
2021-12-12,2021-12-12,actel,5,5
2021-12-12,2021-12-12,ActFrag,4,4
2021-12-12,2021-12-12,Actigraphy,2,2
2021-12-12,2021-12-12,activatr,3,3
2021-12-12,2021-12-12,ActiveDriver,2,3
2021-12-12,2021-12-12,ActiveDriverWGS,8,8
2021-12-12,2021-12-12,activegp,4,4
2021-12-12,2021-12-12,ActivePathways,5,5
2021-12-12,2021-12-12,activity,3,3
2021-12-12,2021-12-12,activityCounts,4,5
2021-12-12,2021-12-12,activityGCMM,2,2
2021-12-12,2021-12-12,ActivityIndex,3,4
2021-12-12,2021-12-12,activPAL,5,5
2021-12-12,2021-12-12,activpalProcessing,2,2
