file_date,date,package,n_unique,n_total
2021-09-22,2021-09-22,A3,38,61
2021-09-22,2021-09-22,aaMI,2,2
2021-09-22,2021-09-22,aaSEA,5,10
2021-09-22,2021-09-22,AATtools,5,8
2021-09-22,2021-09-22,ABACUS,9,15
2021-09-22,2021-09-22,abbyyR,23,30
2021-09-22,2021-09-22,abc,38,71
2021-09-22,2021-09-22,abc.data,33,66
2021-09-22,2021-09-22,ABC.RAP,13,23
2021-09-22,2021-09-22,abcADM,7,12
2021-09-22,2021-09-22,ABCanalysis,23,47
2021-09-22,2021-09-22,abcdeFBA,11,19
2021-09-22,2021-09-22,ABCExtremes,1,1
2021-09-22,2021-09-22,ABCoptim,15,32
2021-09-22,2021-09-22,ABCp2,10,19
2021-09-22,2021-09-22,abcrf,18,27
2021-09-22,2021-09-22,abcrlda,10,26
2021-09-22,2021-09-22,abctools,16,24
2021-09-22,2021-09-22,abd,88,129
2021-09-22,2021-09-22,abdiv,17,23
2021-09-22,2021-09-22,abe,14,48
2021-09-22,2021-09-22,abemus,2,2
2021-09-22,2021-09-22,abess,9,21
2021-09-22,2021-09-22,abf2,12,26
2021-09-22,2021-09-22,abglasso,5,15
2021-09-22,2021-09-22,ABHgenotypeR,11,20
2021-09-22,2021-09-22,abind,8918,14198
2021-09-22,2021-09-22,aBioMarVsuit,1,1
2021-09-22,2021-09-22,abjutils,24,38
2021-09-22,2021-09-22,abmR,7,9
2021-09-22,2021-09-22,abn,25,31
2021-09-22,2021-09-22,abnormality,5,11
2021-09-22,2021-09-22,abodOutlier,11,23
2021-09-22,2021-09-22,ABPS,13,21
2021-09-22,2021-09-22,AbsFilterGSEA,9,14
2021-09-22,2021-09-22,AbSim,9,13
2021-09-22,2021-09-22,abstr,5,10
2021-09-22,2021-09-22,abstractr,7,12
2021-09-22,2021-09-22,abtest,26,33
2021-09-22,2021-09-22,abundant,4,9
2021-09-22,2021-09-22,Ac3net,4,9
2021-09-22,2021-09-22,ACA,8,21
2021-09-22,2021-09-22,academictwitteR,22,34
2021-09-22,2021-09-22,acc,15,23
2021-09-22,2021-09-22,accelerometry,28,38
2021-09-22,2021-09-22,accelmissing,14,21
2021-09-22,2021-09-22,accept,9,19
2021-09-22,2021-09-22,AcceptanceSampling,23,36
2021-09-22,2021-09-22,ACCLMA,2,7
2021-09-22,2021-09-22,accrual,10,18
2021-09-22,2021-09-22,accrued,8,13
2021-09-22,2021-09-22,accSDA,6,14
2021-09-22,2021-09-22,accucor,4,9
2021-09-22,2021-09-22,accuracy,27,27
2021-09-22,2021-09-22,ACD,10,24
2021-09-22,2021-09-22,ACDm,11,19
2021-09-22,2021-09-22,Ace,1,1
2021-09-22,2021-09-22,ace2fastq,7,12
2021-09-22,2021-09-22,acebayes,31,49
2021-09-22,2021-09-22,aceEditor,6,11
2021-09-22,2021-09-22,acepack,250,374
2021-09-22,2021-09-22,acer,2,2
2021-09-22,2021-09-22,ACEsearch,3,8
2021-09-22,2021-09-22,ACEt,15,25
2021-09-22,2021-09-22,acfMPeriod,6,12
