file_date,date,package,n_unique,n_total
2021-12-19,2021-12-19,A3,21,33
2021-12-19,2021-12-19,aaSEA,8,14
2021-12-19,2021-12-19,AATtools,6,9
2021-12-19,2021-12-19,aba,5,56
2021-12-19,2021-12-19,ABACUS,9,19
2021-12-19,2021-12-19,abbreviate,3,47
2021-12-19,2021-12-19,abbyyR,12,19
2021-12-19,2021-12-19,abc,21,85
2021-12-19,2021-12-19,abc.data,20,87
2021-12-19,2021-12-19,ABC.RAP,10,24
2021-12-19,2021-12-19,abcADM,6,13
2021-12-19,2021-12-19,ABCanalysis,14,44
2021-12-19,2021-12-19,abcdeFBA,12,25
2021-12-19,2021-12-19,ABCoptim,8,34
2021-12-19,2021-12-19,ABCp2,6,15
2021-12-19,2021-12-19,abcrf,10,21
2021-12-19,2021-12-19,abcrlda,8,24
2021-12-19,2021-12-19,abctools,11,20
2021-12-19,2021-12-19,abd,18,29
2021-12-19,2021-12-19,abdiv,14,24
2021-12-19,2021-12-19,abe,6,39
2021-12-19,2021-12-19,abess,13,31
2021-12-19,2021-12-19,abf2,7,22
2021-12-19,2021-12-19,abglasso,9,28
2021-12-19,2021-12-19,ABHgenotypeR,7,16
2021-12-19,2021-12-19,abind,3997,6569
2021-12-19,2021-12-19,abjutils,10,17
2021-12-19,2021-12-19,abmR,1,6
2021-12-19,2021-12-19,abn,7,13
2021-12-19,2021-12-19,abnormality,8,14
2021-12-19,2021-12-19,abodOutlier,8,19
2021-12-19,2021-12-19,ABPS,8,17
2021-12-19,2021-12-19,AbsFilterGSEA,3,8
2021-12-19,2021-12-19,AbSim,6,10
2021-12-19,2021-12-19,abstr,5,17
2021-12-19,2021-12-19,abstractr,10,16
2021-12-19,2021-12-19,abtest,9,20
2021-12-19,2021-12-19,abundant,1,6
2021-12-19,2021-12-19,Ac3net,5,10
2021-12-19,2021-12-19,ACA,6,19
2021-12-19,2021-12-19,academictwitteR,12,34
2021-12-19,2021-12-19,acc,14,24
2021-12-19,2021-12-19,accelerometry,11,18
2021-12-19,2021-12-19,accelmissing,10,27
2021-12-19,2021-12-19,accept,6,16
2021-12-19,2021-12-19,AcceptanceSampling,8,29
2021-12-19,2021-12-19,ACCLMA,4,10
2021-12-19,2021-12-19,accrual,8,18
2021-12-19,2021-12-19,accrued,2,7
2021-12-19,2021-12-19,accSDA,8,17
2021-12-19,2021-12-19,accucor,6,21
2021-12-19,2021-12-19,ACD,8,29
2021-12-19,2021-12-19,ACDm,14,26
2021-12-19,2021-12-19,ace2fastq,8,15
2021-12-19,2021-12-19,acebayes,13,26
2021-12-19,2021-12-19,aceEditor,5,14
2021-12-19,2021-12-19,acepack,95,151
2021-12-19,2021-12-19,ACEsearch,5,15
2021-12-19,2021-12-19,ACEt,8,18
2021-12-19,2021-12-19,acfMPeriod,9,14
2021-12-19,2021-12-19,acid,7,432
2021-12-19,2021-12-19,acled.api,6,15
2021-12-19,2021-12-19,acm4r,4,9
2021-12-19,2021-12-19,ACMEeqtl,1,1
2021-12-19,2021-12-19,acmeR,10,23
2021-12-19,2021-12-19,ACNE,6,18
2021-12-19,2021-12-19,acnr,7,17
2021-12-19,2021-12-19,acopula,5,12
2021-12-19,2021-12-19,AcousticNDLCodeR,8,21
2021-12-19,2021-12-19,acp,8,17
