file_date,date,package,n_unique,n_total
2021-11-16,2021-11-16,A3,38,55
2021-11-16,2021-11-16,aaSEA,17,25
2021-11-16,2021-11-16,AATtools,11,19
2021-11-16,2021-11-16,ABACUS,15,23
2021-11-16,2021-11-16,abbyyR,19,24
2021-11-16,2021-11-16,abc,54,122
2021-11-16,2021-11-16,abc.data,44,100
2021-11-16,2021-11-16,ABC.RAP,10,14
2021-11-16,2021-11-16,abcADM,11,14
2021-11-16,2021-11-16,ABCanalysis,30,38
2021-11-16,2021-11-16,abcdeFBA,11,14
2021-11-16,2021-11-16,ABCoptim,36,45
2021-11-16,2021-11-16,ABCp2,14,17
2021-11-16,2021-11-16,abcrf,12,16
2021-11-16,2021-11-16,abcrlda,14,16
2021-11-16,2021-11-16,abctools,14,16
2021-11-16,2021-11-16,abd,56,70
2021-11-16,2021-11-16,abdiv,20,23
2021-11-16,2021-11-16,abe,12,14
2021-11-16,2021-11-16,abemus,1,1
2021-11-16,2021-11-16,abess,19,27
2021-11-16,2021-11-16,abf2,11,12
2021-11-16,2021-11-16,abglasso,10,14
2021-11-16,2021-11-16,ABHgenotypeR,13,16
2021-11-16,2021-11-16,abind,11069,17069
2021-11-16,2021-11-16,aBioMarVsuit,1,1
2021-11-16,2021-11-16,abjutils,26,41
2021-11-16,2021-11-16,abmR,2,2
2021-11-16,2021-11-16,abn,7,7
2021-11-16,2021-11-16,abnormality,10,12
2021-11-16,2021-11-16,abodOutlier,11,13
2021-11-16,2021-11-16,ABPS,10,13
2021-11-16,2021-11-16,AbsFilterGSEA,1,1
2021-11-16,2021-11-16,AbSim,4,4
2021-11-16,2021-11-16,abstr,1,1
2021-11-16,2021-11-16,abstractr,15,17
2021-11-16,2021-11-16,abtest,18,22
2021-11-16,2021-11-16,abundant,1,1
2021-11-16,2021-11-16,Ac3net,13,15
2021-11-16,2021-11-16,ACA,12,13
2021-11-16,2021-11-16,academictwitteR,23,30
2021-11-16,2021-11-16,acc,13,14
2021-11-16,2021-11-16,accelerometry,20,21
2021-11-16,2021-11-16,accelmissing,9,11
2021-11-16,2021-11-16,accept,13,20
2021-11-16,2021-11-16,AcceptanceSampling,18,22
2021-11-16,2021-11-16,accrual,11,12
2021-11-16,2021-11-16,accrued,4,4
2021-11-16,2021-11-16,accSDA,10,11
2021-11-16,2021-11-16,accucor,10,11
2021-11-16,2021-11-16,accuracy,3,3
2021-11-16,2021-11-16,ACD,12,13
2021-11-16,2021-11-16,ACDm,14,15
2021-11-16,2021-11-16,ace2fastq,11,12
2021-11-16,2021-11-16,acebayes,12,13
2021-11-16,2021-11-16,aceEditor,10,11
2021-11-16,2021-11-16,acepack,227,355
2021-11-16,2021-11-16,acer,2,2
2021-11-16,2021-11-16,ACEsearch,8,10
2021-11-16,2021-11-16,ACEt,16,17
