file_date,date,package,n_unique,n_total
2022-01-20,2022-01-20,A3,25,38
2022-01-20,2022-01-20,aaSEA,7,13
2022-01-20,2022-01-20,AATtools,11,15
2022-01-20,2022-01-20,aba,12,21
2022-01-20,2022-01-20,ABACUS,8,14
2022-01-20,2022-01-20,abbreviate,7,28
2022-01-20,2022-01-20,abbyyR,7,13
2022-01-20,2022-01-20,abc,25,86
2022-01-20,2022-01-20,abc.data,21,76
2022-01-20,2022-01-20,ABC.RAP,7,16
2022-01-20,2022-01-20,abcADM,5,11
2022-01-20,2022-01-20,ABCanalysis,6,18
2022-01-20,2022-01-20,abcdeFBA,5,11
2022-01-20,2022-01-20,ABCoptim,5,17
2022-01-20,2022-01-20,ABCp2,6,12
2022-01-20,2022-01-20,abcrf,8,23
2022-01-20,2022-01-20,abcrlda,5,10
2022-01-20,2022-01-20,abctools,6,12
2022-01-20,2022-01-20,abd,53,94
2022-01-20,2022-01-20,abdiv,7,14
2022-01-20,2022-01-20,abe,7,19
2022-01-20,2022-01-20,abess,13,22
2022-01-20,2022-01-20,abf2,6,12
2022-01-20,2022-01-20,abglasso,4,13
2022-01-20,2022-01-20,ABHgenotypeR,8,14
2022-01-20,2022-01-20,abind,8116,13939
2022-01-20,2022-01-20,abjutils,18,26
2022-01-20,2022-01-20,abmR,1,6
2022-01-20,2022-01-20,abn,7,12
2022-01-20,2022-01-20,abnormality,5,11
2022-01-20,2022-01-20,abodOutlier,8,21
2022-01-20,2022-01-20,ABPS,8,16
2022-01-20,2022-01-20,AbsFilterGSEA,1,3
2022-01-20,2022-01-20,AbSim,1,3
2022-01-20,2022-01-20,abstr,7,13
2022-01-20,2022-01-20,abstractr,5,11
2022-01-20,2022-01-20,abtest,13,27
2022-01-20,2022-01-20,abundant,7,16
2022-01-20,2022-01-20,Ac3net,5,11
2022-01-20,2022-01-20,ACA,6,12
2022-01-20,2022-01-20,academictwitteR,20,37
2022-01-20,2022-01-20,acc,7,13
2022-01-20,2022-01-20,acca,7,19
2022-01-20,2022-01-20,accelerometry,14,25
2022-01-20,2022-01-20,accelmissing,5,11
2022-01-20,2022-01-20,accept,7,18
2022-01-20,2022-01-20,AcceptanceSampling,16,27
2022-01-20,2022-01-20,ACCLMA,2,4
2022-01-20,2022-01-20,accrual,7,13
2022-01-20,2022-01-20,accrued,1,3
2022-01-20,2022-01-20,accSDA,6,12
2022-01-20,2022-01-20,accucor,5,14
2022-01-20,2022-01-20,ACD,6,12
2022-01-20,2022-01-20,ACDC,8,17
2022-01-20,2022-01-20,ACDm,5,11
2022-01-20,2022-01-20,ace2fastq,7,14
2022-01-20,2022-01-20,acebayes,11,25
2022-01-20,2022-01-20,aceEditor,5,11
2022-01-20,2022-01-20,acepack,188,281
2022-01-20,2022-01-20,acer,1,1
2022-01-20,2022-01-20,ACEsearch,4,10
2022-01-20,2022-01-20,ACEt,7,15
2022-01-20,2022-01-20,acfMPeriod,6,12
