file_date,date,package,n_unique,n_total
2022-02-12,2022-02-12,A3,18,29
2022-02-12,2022-02-12,aaSEA,9,16
2022-02-12,2022-02-12,AATtools,5,9
2022-02-12,2022-02-12,aba,8,18
2022-02-12,2022-02-12,ABACUS,7,14
2022-02-12,2022-02-12,abbreviate,10,53
2022-02-12,2022-02-12,abbyyR,13,22
2022-02-12,2022-02-12,abc,17,83
2022-02-12,2022-02-12,abc.data,18,85
2022-02-12,2022-02-12,ABC.RAP,5,15
2022-02-12,2022-02-12,abcADM,5,12
2022-02-12,2022-02-12,ABCanalysis,9,32
2022-02-12,2022-02-12,abcdeFBA,8,19
2022-02-12,2022-02-12,ABCoptim,8,30
2022-02-12,2022-02-12,ABCp2,7,17
2022-02-12,2022-02-12,abcrf,9,18
2022-02-12,2022-02-12,abcrlda,6,21
2022-02-12,2022-02-12,abctools,8,17
2022-02-12,2022-02-12,abd,21,36
2022-02-12,2022-02-12,abdiv,7,14
2022-02-12,2022-02-12,abe,7,38
2022-02-12,2022-02-12,abess,10,20
2022-02-12,2022-02-12,abf2,6,22
2022-02-12,2022-02-12,abglasso,6,18
2022-02-12,2022-02-12,ABHgenotypeR,9,19
2022-02-12,2022-02-12,abind,3429,5084
2022-02-12,2022-02-12,abjutils,13,33
2022-02-12,2022-02-12,abmR,2,7
2022-02-12,2022-02-12,abn,13,21
2022-02-12,2022-02-12,abnormality,5,12
2022-02-12,2022-02-12,abodOutlier,7,17
2022-02-12,2022-02-12,ABPS,6,15
2022-02-12,2022-02-12,AbsFilterGSEA,1,6
2022-02-12,2022-02-12,AbSim,2,6
2022-02-12,2022-02-12,abstr,6,13
2022-02-12,2022-02-12,abstractr,7,14
2022-02-12,2022-02-12,abtest,8,21
2022-02-12,2022-02-12,abundant,10,34
2022-02-12,2022-02-12,Ac3net,5,12
2022-02-12,2022-02-12,ACA,8,23
2022-02-12,2022-02-12,academictwitteR,20,53
2022-02-12,2022-02-12,acc,7,17
2022-02-12,2022-02-12,acca,7,20
2022-02-12,2022-02-12,accelerometry,10,20
2022-02-12,2022-02-12,accelmissing,7,16
2022-02-12,2022-02-12,accept,7,19
2022-02-12,2022-02-12,AcceptanceSampling,11,34
2022-02-12,2022-02-12,ACCLMA,1,6
2022-02-12,2022-02-12,accrual,6,16
2022-02-12,2022-02-12,accrued,1,6
2022-02-12,2022-02-12,accSDA,7,17
2022-02-12,2022-02-12,accucor,8,18
2022-02-12,2022-02-12,accuracy,1,1
2022-02-12,2022-02-12,ACD,6,22
2022-02-12,2022-02-12,ACDC,5,15
2022-02-12,2022-02-12,ACDm,5,15
2022-02-12,2022-02-12,ace2fastq,5,12
2022-02-12,2022-02-12,acebayes,8,19
2022-02-12,2022-02-12,aceEditor,5,12
2022-02-12,2022-02-12,acepack,77,109
2022-02-12,2022-02-12,ACEsearch,5,12
2022-02-12,2022-02-12,ACEt,6,18
2022-02-12,2022-02-12,acfMPeriod,8,15
2022-02-12,2022-02-12,acid,6,79
2022-02-12,2022-02-12,acled.api,7,17
2022-02-12,2022-02-12,acm4r,2,7
2022-02-12,2022-02-12,ACMEeqtl,2,2
2022-02-12,2022-02-12,acmeR,6,16
2022-02-12,2022-02-12,ACNE,6,19
2022-02-12,2022-02-12,acnr,5,15
2022-02-12,2022-02-12,acopula,7,16
2022-02-12,2022-02-12,AcousticNDLCodeR,6,15
2022-02-12,2022-02-12,acp,6,16
2022-02-12,2022-02-12,aCRM,6,16
2022-02-12,2022-02-12,acroname,5,12
2022-02-12,2022-02-12,AcrossTic,5,15
2022-02-12,2022-02-12,acrt,6,16
2022-02-12,2022-02-12,acs,22,37
2022-02-12,2022-02-12,ACSNMineR,1,6
2022-02-12,2022-02-12,acss,11,22
2022-02-12,2022-02-12,acss.data,10,27
2022-02-12,2022-02-12,ACSWR,7,17
2022-02-12,2022-02-12,act,5,15
2022-02-12,2022-02-12,ACTCD,8,17
2022-02-12,2022-02-12,ActCR,5,12
2022-02-12,2022-02-12,actel,8,15
2022-02-12,2022-02-12,ActFrag,11,18
2022-02-12,2022-02-12,Actigraphy,2,6
2022-02-12,2022-02-12,activatr,4,8
2022-02-12,2022-02-12,ActiveDriver,7,17
2022-02-12,2022-02-12,ActiveDriverWGS,7,14
2022-02-12,2022-02-12,activegp,6,16
2022-02-12,2022-02-12,ActivePathways,12,24
2022-02-12,2022-02-12,activity,8,19
2022-02-12,2022-02-12,activityCounts,10,18
2022-02-12,2022-02-12,activityGCMM,6,16
2022-02-12,2022-02-12,ActivityIndex,5,12
2022-02-12,2022-02-12,activPAL,5,12
2022-02-12,2022-02-12,activpalProcessing,1,6
2022-02-12,2022-02-12,actogrammr,5,15
2022-02-12,2022-02-12,actuar,64,98
2022-02-12,2022-02-12,actuaryr,8,17
2022-02-12,2022-02-12,AcuityView,9,19
2022-02-12,2022-02-12,acumos,7,53
2022-02-12,2022-02-12,ada,247,364
2022-02-12,2022-02-12,adabag,80,127
2022-02-12,2022-02-12,adagio,22,39
2022-02-12,2022-02-12,adamethods,6,15
2022-02-12,2022-02-12,AdapEnetClass,6,16
2022-02-12,2022-02-12,adapr,2,7
2022-02-12,2022-02-12,AdapSamp,9,18
2022-02-12,2022-02-12,adapt4pv,5,15
2022-02-12,2022-02-12,adaptalint,5,12
2022-02-12,2022-02-12,adaptDiag,5,15
2022-02-12,2022-02-12,AdaptFit,1,6
2022-02-12,2022-02-12,AdaptFitOS,6,15
2022-02-12,2022-02-12,AdaptGauss,8,18
2022-02-12,2022-02-12,adaptiveGPCA,7,16
2022-02-12,2022-02-12,AdaptiveSparsity,6,13
2022-02-12,2022-02-12,adaptivetau,6,21
2022-02-12,2022-02-12,adaptMCMC,9,25
2022-02-12,2022-02-12,adaptMT,6,13
2022-02-12,2022-02-12,ADAPTS,6,16
2022-02-12,2022-02-12,adaptsmoFMRI,5,15
2022-02-12,2022-02-12,adaptTest,5,15
2022-02-12,2022-02-12,AdaSampling,5,12
2022-02-12,2022-02-12,adass,6,16
2022-02-12,2022-02-12,ADCT,7,17
2022-02-12,2022-02-12,add2ggplot,8,15
2022-02-12,2022-02-12,addhaz,6,15
2022-02-12,2022-02-12,addhazard,7,29
2022-02-12,2022-02-12,addinsJoaoMelo,10,15
2022-02-12,2022-02-12,addinslist,20,31
2022-02-12,2022-02-12,addinsOutline,5,12
2022-02-12,2022-02-12,additive,7,17
2022-02-12,2022-02-12,additiveDEA,6,16
2022-02-12,2022-02-12,additivityTests,24,36
2022-02-12,2022-02-12,addreg,5,15
2022-02-12,2022-02-12,addScales,6,10
2022-02-12,2022-02-12,ADDT,6,16
2022-02-12,2022-02-12,ade4,348,528
2022-02-12,2022-02-12,ade4TkGUI,25,42
2022-02-12,2022-02-12,adea,8,26
2022-02-12,2022-02-12,adeba,2,6
2022-02-12,2022-02-12,adegenet,85,177
2022-02-12,2022-02-12,adegraphics,41,68
2022-02-12,2022-02-12,adehabitatHR,28,45
2022-02-12,2022-02-12,adehabitatHS,14,24
2022-02-12,2022-02-12,adehabitatLT,46,67
2022-02-12,2022-02-12,adehabitatMA,54,74
2022-02-12,2022-02-12,adephylo,34,57
2022-02-12,2022-02-12,adepro,7,21
2022-02-12,2022-02-12,adept,6,15
