file_date,date,package,n_unique,n_total
2021-09-05,2021-09-05,A3,18,21
2021-09-05,2021-09-05,aaSEA,7,9
2021-09-05,2021-09-05,AATtools,8,10
2021-09-05,2021-09-05,ABACUS,5,7
2021-09-05,2021-09-05,abbyyR,5,7
2021-09-05,2021-09-05,abc,19,24
2021-09-05,2021-09-05,abc.data,23,29
2021-09-05,2021-09-05,ABC.RAP,7,9
2021-09-05,2021-09-05,abcADM,7,9
2021-09-05,2021-09-05,ABCanalysis,9,11
2021-09-05,2021-09-05,abcdeFBA,9,11
2021-09-05,2021-09-05,ABCoptim,8,11
2021-09-05,2021-09-05,ABCp2,7,10
2021-09-05,2021-09-05,abcrf,14,48
2021-09-05,2021-09-05,abcrlda,5,7
2021-09-05,2021-09-05,abctools,8,10
2021-09-05,2021-09-05,abd,28,30
2021-09-05,2021-09-05,abdiv,12,15
2021-09-05,2021-09-05,abe,10,12
2021-09-05,2021-09-05,abess,10,11
2021-09-05,2021-09-05,abf2,8,10
2021-09-05,2021-09-05,abglasso,5,7
2021-09-05,2021-09-05,ABHgenotypeR,9,11
2021-09-05,2021-09-05,abind,3643,5827
2021-09-05,2021-09-05,abjutils,10,13
2021-09-05,2021-09-05,abn,6,7
2021-09-05,2021-09-05,abnormality,6,8
2021-09-05,2021-09-05,abodOutlier,4,6
2021-09-05,2021-09-05,ABPS,7,9
2021-09-05,2021-09-05,AbsFilterGSEA,4,4
2021-09-05,2021-09-05,AbSim,2,2
2021-09-05,2021-09-05,abstr,4,6
2021-09-05,2021-09-05,abstractr,8,10
2021-09-05,2021-09-05,abtest,6,8
2021-09-05,2021-09-05,abundant,1,1
2021-09-05,2021-09-05,Ac3net,7,9
2021-09-05,2021-09-05,ACA,9,11
2021-09-05,2021-09-05,academictwitteR,14,18
2021-09-05,2021-09-05,acc,7,9
2021-09-05,2021-09-05,accelerometry,10,13
2021-09-05,2021-09-05,accelmissing,4,6
2021-09-05,2021-09-05,accept,4,6
2021-09-05,2021-09-05,AcceptanceSampling,7,9
2021-09-05,2021-09-05,accrual,5,7
2021-09-05,2021-09-05,accrued,2,2
2021-09-05,2021-09-05,accSDA,5,7
2021-09-05,2021-09-05,accucor,5,7
2021-09-05,2021-09-05,ACD,7,9
2021-09-05,2021-09-05,ACDm,10,12
2021-09-05,2021-09-05,ace2fastq,7,9
2021-09-05,2021-09-05,acebayes,5,7
2021-09-05,2021-09-05,aceEditor,8,10
2021-09-05,2021-09-05,acepack,91,120
2021-09-05,2021-09-05,ACEsearch,4,6
2021-09-05,2021-09-05,ACEt,7,9
2021-09-05,2021-09-05,acfMPeriod,7,9
2021-09-05,2021-09-05,acid,7,92
2021-09-05,2021-09-05,acled.api,7,9
2021-09-05,2021-09-05,acm4r,2,2
2021-09-05,2021-09-05,ACMEeqtl,1,1
2021-09-05,2021-09-05,acmeR,9,11
2021-09-05,2021-09-05,ACNE,4,4
2021-09-05,2021-09-05,acnr,13,15
2021-09-05,2021-09-05,acopula,10,12
2021-09-05,2021-09-05,AcousticNDLCodeR,6,7
2021-09-05,2021-09-05,acp,7,8
