file_date,date,package,n_unique,n_total
2021-09-27,2021-09-27,A3,38,53
2021-09-27,2021-09-27,aaSEA,22,29
2021-09-27,2021-09-27,AATtools,20,29
2021-09-27,2021-09-27,ABACUS,18,25
2021-09-27,2021-09-27,abbyyR,22,29
2021-09-27,2021-09-27,abc,57,103
2021-09-27,2021-09-27,abc.data,53,96
2021-09-27,2021-09-27,ABC.RAP,18,25
2021-09-27,2021-09-27,abcADM,17,24
2021-09-27,2021-09-27,ABCanalysis,19,26
2021-09-27,2021-09-27,abcdeFBA,19,26
2021-09-27,2021-09-27,ABCoptim,28,36
2021-09-27,2021-09-27,ABCp2,20,27
2021-09-27,2021-09-27,abcrf,20,27
2021-09-27,2021-09-27,abcrlda,16,23
2021-09-27,2021-09-27,abctools,22,31
2021-09-27,2021-09-27,abd,74,97
2021-09-27,2021-09-27,abdiv,23,32
2021-09-27,2021-09-27,abe,17,30
2021-09-27,2021-09-27,abemus,1,1
2021-09-27,2021-09-27,abess,22,31
2021-09-27,2021-09-27,abf2,18,25
2021-09-27,2021-09-27,abglasso,16,23
2021-09-27,2021-09-27,ABHgenotypeR,21,28
2021-09-27,2021-09-27,abind,8755,13820
2021-09-27,2021-09-27,abjutils,29,35
2021-09-27,2021-09-27,abmR,20,30
2021-09-27,2021-09-27,abn,19,27
2021-09-27,2021-09-27,abnormality,17,25
2021-09-27,2021-09-27,abodOutlier,19,26
2021-09-27,2021-09-27,ABPS,20,29
2021-09-27,2021-09-27,AbsFilterGSEA,1,1
2021-09-27,2021-09-27,AbSim,1,1
2021-09-27,2021-09-27,abstr,14,22
2021-09-27,2021-09-27,abstractr,20,28
2021-09-27,2021-09-27,abtest,21,35
2021-09-27,2021-09-27,abundant,2,2
2021-09-27,2021-09-27,Ac3net,20,27
2021-09-27,2021-09-27,ACA,17,24
2021-09-27,2021-09-27,academictwitteR,23,34
2021-09-27,2021-09-27,acc,22,34
2021-09-27,2021-09-27,accelerometry,28,40
2021-09-27,2021-09-27,accelmissing,18,26
2021-09-27,2021-09-27,accept,19,26
2021-09-27,2021-09-27,AcceptanceSampling,21,28
2021-09-27,2021-09-27,ACCLMA,2,2
2021-09-27,2021-09-27,accrual,19,26
2021-09-27,2021-09-27,accrued,5,5
2021-09-27,2021-09-27,accSDA,22,29
2021-09-27,2021-09-27,accucor,21,28
2021-09-27,2021-09-27,ACD,20,28
2021-09-27,2021-09-27,ACDm,19,26
2021-09-27,2021-09-27,Ace,1,1
2021-09-27,2021-09-27,ace2fastq,21,28
2021-09-27,2021-09-27,acebayes,19,27
2021-09-27,2021-09-27,aceEditor,16,23
2021-09-27,2021-09-27,acepack,203,293
2021-09-27,2021-09-27,acer,1,1
2021-09-27,2021-09-27,ACEsearch,18,25
2021-09-27,2021-09-27,ACEt,18,25
2021-09-27,2021-09-27,acfMPeriod,19,26
2021-09-27,2021-09-27,aCGH.Spline,1,1
2021-09-27,2021-09-27,acid,24,82
2021-09-27,2021-09-27,acled.api,27,34
2021-09-27,2021-09-27,acm4r,1,1
2021-09-27,2021-09-27,ACMEeqtl,3,3
2021-09-27,2021-09-27,acmeR,21,30
2021-09-27,2021-09-27,ACNE,23,31
2021-09-27,2021-09-27,acnr,20,27
2021-09-27,2021-09-27,acopula,20,27
2021-09-27,2021-09-27,AcousticNDLCodeR,19,26
2021-09-27,2021-09-27,acp,21,28
2021-09-27,2021-09-27,aCRM,19,26
2021-09-27,2021-09-27,acroname,18,25
2021-09-27,2021-09-27,AcrossTic,18,26
2021-09-27,2021-09-27,acrt,17,24
2021-09-27,2021-09-27,acs,48,62
2021-09-27,2021-09-27,ACSNMineR,20,29
2021-09-27,2021-09-27,acss,23,33
2021-09-27,2021-09-27,acss.data,27,38
2021-09-27,2021-09-27,ACSWR,26,37
2021-09-27,2021-09-27,act,27,30
2021-09-27,2021-09-27,ACTCD,23,31
2021-09-27,2021-09-27,ActCR,17,24
2021-09-27,2021-09-27,actel,21,28
2021-09-27,2021-09-27,ActFrag,18,25
2021-09-27,2021-09-27,Actigraphy,3,3
2021-09-27,2021-09-27,ActisoftR,1,1
2021-09-27,2021-09-27,activatr,15,22
2021-09-27,2021-09-27,ActiveDriver,19,26
2021-09-27,2021-09-27,ActiveDriverWGS,17,20
2021-09-27,2021-09-27,activegp,17,25
2021-09-27,2021-09-27,ActivePathways,22,29
2021-09-27,2021-09-27,activity,28,36
