file_date,date,package,n_unique,n_total
2021-12-31,2021-12-31,A3,12,14
2021-12-31,2021-12-31,aaSEA,7,7
2021-12-31,2021-12-31,AATtools,6,6
2021-12-31,2021-12-31,aba,7,8
2021-12-31,2021-12-31,ABACUS,7,9
2021-12-31,2021-12-31,abbreviate,6,6
2021-12-31,2021-12-31,abbyyR,8,8
2021-12-31,2021-12-31,abc,18,72
2021-12-31,2021-12-31,abc.data,21,70
2021-12-31,2021-12-31,ABC.RAP,7,7
2021-12-31,2021-12-31,abcADM,5,5
2021-12-31,2021-12-31,ABCanalysis,8,9
2021-12-31,2021-12-31,abcdeFBA,7,7
2021-12-31,2021-12-31,ABCoptim,11,11
2021-12-31,2021-12-31,ABCp2,8,9
2021-12-31,2021-12-31,abcrf,10,10
2021-12-31,2021-12-31,abcrlda,5,5
2021-12-31,2021-12-31,abctools,7,7
2021-12-31,2021-12-31,abd,23,25
2021-12-31,2021-12-31,abdiv,10,11
2021-12-31,2021-12-31,abe,8,9
2021-12-31,2021-12-31,abess,13,13
2021-12-31,2021-12-31,abf2,8,8
2021-12-31,2021-12-31,abglasso,5,5
2021-12-31,2021-12-31,ABHgenotypeR,8,8
2021-12-31,2021-12-31,abind,3371,5755
2021-12-31,2021-12-31,abjutils,10,11
2021-12-31,2021-12-31,abn,2,2
2021-12-31,2021-12-31,abnormality,8,8
2021-12-31,2021-12-31,abodOutlier,7,8
2021-12-31,2021-12-31,ABPS,11,12
2021-12-31,2021-12-31,abstr,9,12
2021-12-31,2021-12-31,abstractr,10,10
2021-12-31,2021-12-31,abtest,8,8
2021-12-31,2021-12-31,abundant,1,1
2021-12-31,2021-12-31,Ac3net,7,7
2021-12-31,2021-12-31,ACA,9,9
2021-12-31,2021-12-31,academictwitteR,16,17
2021-12-31,2021-12-31,acc,7,7
2021-12-31,2021-12-31,accelerometry,9,9
2021-12-31,2021-12-31,accelmissing,6,6
2021-12-31,2021-12-31,accept,5,5
2021-12-31,2021-12-31,AcceptanceSampling,13,13
2021-12-31,2021-12-31,ACCLMA,1,1
2021-12-31,2021-12-31,accrual,6,6
2021-12-31,2021-12-31,accrued,1,1
2021-12-31,2021-12-31,accSDA,10,10
2021-12-31,2021-12-31,accucor,8,8
2021-12-31,2021-12-31,ACD,8,8
2021-12-31,2021-12-31,ACDm,8,8
2021-12-31,2021-12-31,ace2fastq,5,5
2021-12-31,2021-12-31,acebayes,7,7
2021-12-31,2021-12-31,aceEditor,5,5
2021-12-31,2021-12-31,acepack,42,65
2021-12-31,2021-12-31,ACEsearch,6,6
2021-12-31,2021-12-31,ACEt,8,8
2021-12-31,2021-12-31,acfMPeriod,5,5
2021-12-31,2021-12-31,acid,8,71
2021-12-31,2021-12-31,acled.api,10,10
2021-12-31,2021-12-31,acm4r,3,3
2021-12-31,2021-12-31,acmeR,8,8
2021-12-31,2021-12-31,ACNE,6,7
2021-12-31,2021-12-31,acnr,8,10
2021-12-31,2021-12-31,acopula,8,9
2021-12-31,2021-12-31,AcousticNDLCodeR,10,10
2021-12-31,2021-12-31,acp,8,8
2021-12-31,2021-12-31,aCRM,11,11
2021-12-31,2021-12-31,acroname,5,5
2021-12-31,2021-12-31,AcrossTic,10,10
2021-12-31,2021-12-31,acrt,7,8
2021-12-31,2021-12-31,acs,26,31
2021-12-31,2021-12-31,ACSNMineR,3,3
2021-12-31,2021-12-31,acss,10,12
2021-12-31,2021-12-31,acss.data,13,15
2021-12-31,2021-12-31,ACSWR,12,12
2021-12-31,2021-12-31,act,11,11
2021-12-31,2021-12-31,ACTCD,9,10
2021-12-31,2021-12-31,ActCR,5,5
2021-12-31,2021-12-31,actel,7,7
2021-12-31,2021-12-31,ActFrag,5,5
2021-12-31,2021-12-31,Actigraphy,1,1
2021-12-31,2021-12-31,activatr,4,4
2021-12-31,2021-12-31,ActiveDriver,7,8
2021-12-31,2021-12-31,ActiveDriverWGS,4,4
2021-12-31,2021-12-31,activegp,7,7
2021-12-31,2021-12-31,ActivePathways,6,6
2021-12-31,2021-12-31,activity,8,8
2021-12-31,2021-12-31,activityCounts,5,5
2021-12-31,2021-12-31,activityGCMM,5,5
2021-12-31,2021-12-31,ActivityIndex,5,5
2021-12-31,2021-12-31,activPAL,6,6
2021-12-31,2021-12-31,activpalProcessing,2,2
2021-12-31,2021-12-31,actogrammr,6,7
2021-12-31,2021-12-31,actuar,41,58
2021-12-31,2021-12-31,actuaryr,6,6
2021-12-31,2021-12-31,AcuityView,9,9
2021-12-31,2021-12-31,acumos,5,5
2021-12-31,2021-12-31,ada,281,372
2021-12-31,2021-12-31,adabag,52,61
2021-12-31,2021-12-31,ADaCGH,1,1
2021-12-31,2021-12-31,adagio,17,18
2021-12-31,2021-12-31,adamethods,7,7
2021-12-31,2021-12-31,AdapEnetClass,6,6
2021-12-31,2021-12-31,adapr,1,1
2021-12-31,2021-12-31,AdapSamp,6,6
2021-12-31,2021-12-31,adapt4pv,7,7
2021-12-31,2021-12-31,adaptalint,9,10
2021-12-31,2021-12-31,adaptDiag,6,6
2021-12-31,2021-12-31,AdaptFit,4,4
2021-12-31,2021-12-31,AdaptFitOS,8,8
2021-12-31,2021-12-31,AdaptGauss,9,15
2021-12-31,2021-12-31,adaptiveGPCA,8,8
2021-12-31,2021-12-31,AdaptiveSparsity,9,9
2021-12-31,2021-12-31,adaptivetau,7,7
2021-12-31,2021-12-31,adaptMCMC,10,10
2021-12-31,2021-12-31,adaptMT,8,8
2021-12-31,2021-12-31,ADAPTS,7,8
2021-12-31,2021-12-31,adaptsmoFMRI,8,8
2021-12-31,2021-12-31,adaptTest,6,7
2021-12-31,2021-12-31,AdaSampling,5,5
2021-12-31,2021-12-31,adass,5,5
2021-12-31,2021-12-31,ADCT,7,7
2021-12-31,2021-12-31,add2ggplot,6,7
2021-12-31,2021-12-31,addhaz,5,5
2021-12-31,2021-12-31,addhazard,7,7
2021-12-31,2021-12-31,addinsJoaoMelo,5,5
2021-12-31,2021-12-31,addinslist,9,11
2021-12-31,2021-12-31,addinsOutline,8,8
2021-12-31,2021-12-31,additive,6,6
2021-12-31,2021-12-31,additiveDEA,6,6
2021-12-31,2021-12-31,additivityTests,25,25
2021-12-31,2021-12-31,addreg,8,8
2021-12-31,2021-12-31,addScales,5,5
2021-12-31,2021-12-31,ADDT,7,7
2021-12-31,2021-12-31,ade4,344,628
2021-12-31,2021-12-31,ade4TkGUI,19,20
2021-12-31,2021-12-31,adea,8,8
2021-12-31,2021-12-31,adeba,5,5
2021-12-31,2021-12-31,adegenet,83,104
2021-12-31,2021-12-31,adegraphics,41,46
2021-12-31,2021-12-31,adehabitat,2,2
2021-12-31,2021-12-31,adehabitatHR,30,36
