file_date,date,package,n_unique,n_total
2021-10-19,2021-10-19,A3,26,40
2021-10-19,2021-10-19,aaMI,1,1
2021-10-19,2021-10-19,aaSEA,13,20
2021-10-19,2021-10-19,AATtools,13,17
2021-10-19,2021-10-19,ABACUS,11,17
2021-10-19,2021-10-19,abbyyR,15,23
2021-10-19,2021-10-19,abc,37,75
2021-10-19,2021-10-19,abc.data,39,82
2021-10-19,2021-10-19,ABC.RAP,12,22
2021-10-19,2021-10-19,abcADM,11,17
2021-10-19,2021-10-19,ABCanalysis,19,43
2021-10-19,2021-10-19,abcdeFBA,6,15
2021-10-19,2021-10-19,ABCExtremes,1,1
2021-10-19,2021-10-19,ABCoptim,10,28
2021-10-19,2021-10-19,ABCp2,9,18
2021-10-19,2021-10-19,abcrf,16,33
2021-10-19,2021-10-19,abcrlda,13,26
2021-10-19,2021-10-19,abctools,12,19
2021-10-19,2021-10-19,abd,83,104
2021-10-19,2021-10-19,abdiv,15,21
2021-10-19,2021-10-19,abe,9,41
2021-10-19,2021-10-19,abemus,4,4
2021-10-19,2021-10-19,abess,9,17
2021-10-19,2021-10-19,abf2,9,24
2021-10-19,2021-10-19,abglasso,10,20
2021-10-19,2021-10-19,ABHgenotypeR,13,21
2021-10-19,2021-10-19,abind,9912,15976
2021-10-19,2021-10-19,aBioMarVsuit,1,1
2021-10-19,2021-10-19,abjutils,18,33
2021-10-19,2021-10-19,abmR,16,27
2021-10-19,2021-10-19,abn,13,19
2021-10-19,2021-10-19,abnormality,8,13
2021-10-19,2021-10-19,abodOutlier,15,23
2021-10-19,2021-10-19,ABPS,12,19
2021-10-19,2021-10-19,AbsFilterGSEA,3,8
2021-10-19,2021-10-19,AbSim,2,6
2021-10-19,2021-10-19,abstr,15,26
2021-10-19,2021-10-19,abstractr,10,15
2021-10-19,2021-10-19,abtest,23,35
2021-10-19,2021-10-19,abundant,3,8
2021-10-19,2021-10-19,Ac3net,7,12
2021-10-19,2021-10-19,ACA,13,26
2021-10-19,2021-10-19,academictwitteR,17,41
2021-10-19,2021-10-19,acc,9,19
2021-10-19,2021-10-19,accelerometry,16,23
2021-10-19,2021-10-19,accelmissing,8,15
2021-10-19,2021-10-19,accept,15,25
2021-10-19,2021-10-19,AcceptanceSampling,19,46
2021-10-19,2021-10-19,ACCLMA,2,8
2021-10-19,2021-10-19,accrual,11,19
2021-10-19,2021-10-19,accrued,3,8
2021-10-19,2021-10-19,accSDA,8,16
2021-10-19,2021-10-19,accucor,9,14
2021-10-19,2021-10-19,accuracy,5,5
2021-10-19,2021-10-19,ACD,12,27
2021-10-19,2021-10-19,ACDm,8,16
2021-10-19,2021-10-19,ace2fastq,9,14
2021-10-19,2021-10-19,acebayes,13,22
2021-10-19,2021-10-19,aceEditor,7,12
2021-10-19,2021-10-19,acepack,218,312
2021-10-19,2021-10-19,acer,2,2
2021-10-19,2021-10-19,ACEsearch,8,13
2021-10-19,2021-10-19,ACEt,12,22
2021-10-19,2021-10-19,acfMPeriod,10,15
2021-10-19,2021-10-19,aCGH.Spline,2,2
2021-10-19,2021-10-19,acid,13,105
2021-10-19,2021-10-19,acled.api,10,19
2021-10-19,2021-10-19,acm4r,2,7
2021-10-19,2021-10-19,acmeR,7,16
2021-10-19,2021-10-19,ACNE,10,21
2021-10-19,2021-10-19,acnr,10,18
2021-10-19,2021-10-19,acopula,13,20
2021-10-19,2021-10-19,AcousticNDLCodeR,10,20
2021-10-19,2021-10-19,acp,18,26
2021-10-19,2021-10-19,aCRM,8,16
2021-10-19,2021-10-19,acroname,9,14
2021-10-19,2021-10-19,AcrossTic,11,19
2021-10-19,2021-10-19,acrt,10,18
2021-10-19,2021-10-19,acs,73,98
2021-10-19,2021-10-19,ACSNMineR,4,12
2021-10-19,2021-10-19,acss,15,23
2021-10-19,2021-10-19,acss.data,19,34
2021-10-19,2021-10-19,ACSWR,7,15
2021-10-19,2021-10-19,act,8,19
2021-10-19,2021-10-19,ACTCD,13,22
2021-10-19,2021-10-19,ActCR,8,13
2021-10-19,2021-10-19,actel,11,16
2021-10-19,2021-10-19,ActFrag,12,18
2021-10-19,2021-10-19,Actigraphy,5,9
2021-10-19,2021-10-19,ActisoftR,3,3
2021-10-19,2021-10-19,activatr,11,13
2021-10-19,2021-10-19,ActiveDriver,9,17
2021-10-19,2021-10-19,ActiveDriverWGS,12,22
2021-10-19,2021-10-19,activegp,10,15
2021-10-19,2021-10-19,ActivePathways,3,7
2021-10-19,2021-10-19,activity,16,27
2021-10-19,2021-10-19,activityCounts,10,15
2021-10-19,2021-10-19,activityGCMM,7,15
2021-10-19,2021-10-19,ActivityIndex,7,12
2021-10-19,2021-10-19,activPAL,8,14
2021-10-19,2021-10-19,activpalProcessing,5,10
2021-10-19,2021-10-19,actogrammr,11,19
2021-10-19,2021-10-19,actuar,209,269
2021-10-19,2021-10-19,actuaryr,24,32
2021-10-19,2021-10-19,ActuDistns,1,1
2021-10-19,2021-10-19,AcuityView,15,23
2021-10-19,2021-10-19,acumos,8,49
2021-10-19,2021-10-19,ada,381,477
2021-10-19,2021-10-19,adabag,182,249
2021-10-19,2021-10-19,ADaCGH,1,1
2021-10-19,2021-10-19,adagio,45,61
2021-10-19,2021-10-19,adamethods,30,37
2021-10-19,2021-10-19,AdapEnetClass,12,20
2021-10-19,2021-10-19,adapr,3,8
2021-10-19,2021-10-19,AdapSamp,10,17
2021-10-19,2021-10-19,adapt,3,3
2021-10-19,2021-10-19,adapt4pv,6,17
2021-10-19,2021-10-19,adaptalint,13,18
2021-10-19,2021-10-19,adaptDiag,8,16
2021-10-19,2021-10-19,AdaptFit,4,9
2021-10-19,2021-10-19,AdaptFitOS,11,18
2021-10-19,2021-10-19,AdaptGauss,32,40
2021-10-19,2021-10-19,adaptiveGPCA,15,22
2021-10-19,2021-10-19,AdaptiveSparsity,13,18
2021-10-19,2021-10-19,adaptivetau,20,37
2021-10-19,2021-10-19,adaptMCMC,18,27
2021-10-19,2021-10-19,adaptMT,7,12
2021-10-19,2021-10-19,ADAPTS,12,30
2021-10-19,2021-10-19,adaptsmoFMRI,7,15
2021-10-19,2021-10-19,adaptTest,12,20
2021-10-19,2021-10-19,AdaSampling,9,14
2021-10-19,2021-10-19,ADCT,9,17
2021-10-19,2021-10-19,add2ggplot,12,17
2021-10-19,2021-10-19,addhaz,7,14
2021-10-19,2021-10-19,addhazard,10,30
2021-10-19,2021-10-19,addinsJoaoMelo,7,9
2021-10-19,2021-10-19,addinslist,27,42
2021-10-19,2021-10-19,addinsOutline,6,11
2021-10-19,2021-10-19,additive,12,26
2021-10-19,2021-10-19,additiveDEA,11,20
2021-10-19,2021-10-19,additivityTests,84,99
2021-10-19,2021-10-19,addreg,12,21
2021-10-19,2021-10-19,addScales,9,11
2021-10-19,2021-10-19,ADDT,7,15
2021-10-19,2021-10-19,ade4,1461,2717
2021-10-19,2021-10-19,ade4TkGUI,93,112
2021-10-19,2021-10-19,adea,8,16
2021-10-19,2021-10-19,adeba,2,6
2021-10-19,2021-10-19,adegenet,360,569
2021-10-19,2021-10-19,adegraphics,173,220
2021-10-19,2021-10-19,adehabitat,12,12
2021-10-19,2021-10-19,adehabitatHR,112,168
2021-10-19,2021-10-19,adehabitatHS,21,30
2021-10-19,2021-10-19,adehabitatLT,178,223
2021-10-19,2021-10-19,adehabitatMA,201,251
2021-10-19,2021-10-19,adephylo,124,159
2021-10-19,2021-10-19,adepro,13,25
2021-10-19,2021-10-19,adept,9,16
2021-10-19,2021-10-19,adeptdata,9,16
2021-10-19,2021-10-19,AdequacyModel,12,27
2021-10-19,2021-10-19,adespatial,125,161
2021-10-19,2021-10-19,adfExplorer,16,28
2021-10-19,2021-10-19,ADGofTest,148,183
2021-10-19,2021-10-19,adheRenceRX,11,16
2021-10-19,2021-10-19,AdhereR,20,31
2021-10-19,2021-10-19,AdhereRViz,10,17
2021-10-19,2021-10-19,adhoc,8,16
2021-10-19,2021-10-19,adimpro,15,33
2021-10-19,2021-10-19,adiv,16,29
2021-10-19,2021-10-19,AdjBQR,13,21
2021-10-19,2021-10-19,adjclust,11,19
2021-10-19,2021-10-19,adjustedcranlogs,9,17
2021-10-19,2021-10-19,adk,1,1
2021-10-19,2021-10-19,adklakedata,10,17
