file_date,date,package,n_unique,n_total
2021-09-10,2021-09-10,A3,40,70
2021-09-10,2021-09-10,aaMI,1,1
2021-09-10,2021-09-10,aaSEA,19,28
2021-09-10,2021-09-10,AATtools,14,18
2021-09-10,2021-09-10,ABACUS,16,23
2021-09-10,2021-09-10,abbyyR,17,26
2021-09-10,2021-09-10,abc,35,121
2021-09-10,2021-09-10,abc.data,31,114
2021-09-10,2021-09-10,ABC.RAP,18,28
2021-09-10,2021-09-10,abcADM,12,19
2021-09-10,2021-09-10,ABCanalysis,16,38
2021-09-10,2021-09-10,abcdeFBA,20,42
2021-09-10,2021-09-10,ABCoptim,19,38
2021-09-10,2021-09-10,ABCp2,14,25
2021-09-10,2021-09-10,abcrf,22,34
2021-09-10,2021-09-10,abcrlda,16,31
2021-09-10,2021-09-10,abctools,21,33
2021-09-10,2021-09-10,abd,52,71
2021-09-10,2021-09-10,abdiv,16,23
2021-09-10,2021-09-10,abe,15,47
2021-09-10,2021-09-10,abemus,2,2
2021-09-10,2021-09-10,abess,13,51
2021-09-10,2021-09-10,abf2,17,33
2021-09-10,2021-09-10,abglasso,13,27
2021-09-10,2021-09-10,ABHgenotypeR,15,25
2021-09-10,2021-09-10,abind,7069,10724
2021-09-10,2021-09-10,abjutils,18,27
2021-09-10,2021-09-10,abn,19,38
2021-09-10,2021-09-10,abnormality,17,24
2021-09-10,2021-09-10,abodOutlier,17,27
2021-09-10,2021-09-10,ABPS,17,26
2021-09-10,2021-09-10,AbsFilterGSEA,1,6
2021-09-10,2021-09-10,AbSim,2,6
2021-09-10,2021-09-10,abstr,16,34
2021-09-10,2021-09-10,abstractr,18,27
2021-09-10,2021-09-10,abtest,24,33
2021-09-10,2021-09-10,abundant,6,11
2021-09-10,2021-09-10,Ac3net,12,20
2021-09-10,2021-09-10,ACA,19,34
2021-09-10,2021-09-10,academictwitteR,28,45
2021-09-10,2021-09-10,acc,16,26
2021-09-10,2021-09-10,accelerometry,20,37
2021-09-10,2021-09-10,accelmissing,14,23
2021-09-10,2021-09-10,accept,15,27
2021-09-10,2021-09-10,AcceptanceSampling,18,34
2021-09-10,2021-09-10,ACCLMA,2,7
2021-09-10,2021-09-10,accrual,16,26
2021-09-10,2021-09-10,accrued,4,9
2021-09-10,2021-09-10,accSDA,16,28
2021-09-10,2021-09-10,accucor,12,19
2021-09-10,2021-09-10,accuracy,2,2
2021-09-10,2021-09-10,ACD,14,30
2021-09-10,2021-09-10,ACDm,14,24
2021-09-10,2021-09-10,ace2fastq,13,21
2021-09-10,2021-09-10,acebayes,15,26
2021-09-10,2021-09-10,aceEditor,11,18
2021-09-10,2021-09-10,acepack,182,258
2021-09-10,2021-09-10,ACEsearch,13,20
2021-09-10,2021-09-10,ACEt,15,27
2021-09-10,2021-09-10,acfMPeriod,14,21
2021-09-10,2021-09-10,acid,17,393
2021-09-10,2021-09-10,acled.api,17,26
2021-09-10,2021-09-10,acm4r,2,7
2021-09-10,2021-09-10,ACMEeqtl,2,2
2021-09-10,2021-09-10,acmeR,13,24
2021-09-10,2021-09-10,ACNE,13,29
2021-09-10,2021-09-10,acnr,20,30
2021-09-10,2021-09-10,acopula,18,28
2021-09-10,2021-09-10,AcousticNDLCodeR,15,25
2021-09-10,2021-09-10,acp,20,31
2021-09-10,2021-09-10,aCRM,16,27
2021-09-10,2021-09-10,acroname,12,19
2021-09-10,2021-09-10,AcrossTic,14,24
2021-09-10,2021-09-10,acrt,12,22
2021-09-10,2021-09-10,acs,40,61
2021-09-10,2021-09-10,ACSNMineR,14,24
2021-09-10,2021-09-10,acss,19,33
2021-09-10,2021-09-10,acss.data,21,40
2021-09-10,2021-09-10,ACSWR,19,32
2021-09-10,2021-09-10,act,17,27
2021-09-10,2021-09-10,ACTCD,20,29
2021-09-10,2021-09-10,ActCR,14,21
2021-09-10,2021-09-10,actel,19,33
2021-09-10,2021-09-10,ActFrag,17,30
2021-09-10,2021-09-10,Actigraphy,2,6
2021-09-10,2021-09-10,ActisoftR,1,1
2021-09-10,2021-09-10,activatr,11,16
2021-09-10,2021-09-10,ActiveDriver,13,23
2021-09-10,2021-09-10,ActiveDriverWGS,14,27
2021-09-10,2021-09-10,activegp,11,18
2021-09-10,2021-09-10,ActivePathways,11,17
2021-09-10,2021-09-10,activity,16,33
2021-09-10,2021-09-10,activityCounts,12,19
2021-09-10,2021-09-10,activityGCMM,17,33
2021-09-10,2021-09-10,ActivityIndex,15,23
2021-09-10,2021-09-10,activPAL,11,18
2021-09-10,2021-09-10,activpalProcessing,1,6
2021-09-10,2021-09-10,actogrammr,15,25
2021-09-10,2021-09-10,actuar,104,209
2021-09-10,2021-09-10,actuaryr,34,47
2021-09-10,2021-09-10,AcuityView,14,32
2021-09-10,2021-09-10,acumos,14,63
2021-09-10,2021-09-10,ada,347,441
2021-09-10,2021-09-10,adabag,130,181
2021-09-10,2021-09-10,adagio,42,67
2021-09-10,2021-09-10,adamethods,28,37
2021-09-10,2021-09-10,AdapEnetClass,19,29
2021-09-10,2021-09-10,adapr,2,7
2021-09-10,2021-09-10,AdapSamp,17,29
2021-09-10,2021-09-10,adapt,1,1
2021-09-10,2021-09-10,adapt4pv,13,23
2021-09-10,2021-09-10,adaptalint,17,24
2021-09-10,2021-09-10,adaptDA,1,1
2021-09-10,2021-09-10,adaptDiag,13,23
2021-09-10,2021-09-10,AdaptFit,2,7
2021-09-10,2021-09-10,AdaptFitOS,18,27
2021-09-10,2021-09-10,AdaptGauss,19,28
2021-09-10,2021-09-10,adaptiveGPCA,15,29
2021-09-10,2021-09-10,AdaptiveSparsity,14,21
2021-09-10,2021-09-10,adaptivetau,23,58
2021-09-10,2021-09-10,adaptMCMC,26,40
2021-09-10,2021-09-10,adaptMT,16,23
2021-09-10,2021-09-10,ADAPTS,10,15
2021-09-10,2021-09-10,adaptsmoFMRI,14,24
2021-09-10,2021-09-10,adaptTest,13,23
2021-09-10,2021-09-10,AdaSampling,12,19
2021-09-10,2021-09-10,ADCT,14,24
2021-09-10,2021-09-10,add2ggplot,18,30
2021-09-10,2021-09-10,addhaz,19,28
2021-09-10,2021-09-10,addhazard,21,43
2021-09-10,2021-09-10,addinsJoaoMelo,13,17
2021-09-10,2021-09-10,addinslist,48,96
2021-09-10,2021-09-10,addinsOutline,15,22
2021-09-10,2021-09-10,additive,12,22
2021-09-10,2021-09-10,additiveDEA,15,25
2021-09-10,2021-09-10,additivityTests,66,83
2021-09-10,2021-09-10,addreg,17,27
2021-09-10,2021-09-10,addScales,14,18
2021-09-10,2021-09-10,ADDT,16,26
2021-09-10,2021-09-10,ade4,899,1527
2021-09-10,2021-09-10,ade4TkGUI,56,77
2021-09-10,2021-09-10,adea,10,41
2021-09-10,2021-09-10,adeba,2,6
2021-09-10,2021-09-10,adegenet,218,401
2021-09-10,2021-09-10,adegraphics,89,116
2021-09-10,2021-09-10,adehabitatHR,72,85
2021-09-10,2021-09-10,adehabitatHS,17,27
2021-09-10,2021-09-10,adehabitatLT,110,133
2021-09-10,2021-09-10,adehabitatMA,110,136
2021-09-10,2021-09-10,adephylo,83,119
2021-09-10,2021-09-10,adepro,18,36
2021-09-10,2021-09-10,adept,17,31
2021-09-10,2021-09-10,adeptdata,14,24
2021-09-10,2021-09-10,AdequacyModel,19,37
2021-09-10,2021-09-10,adespatial,70,115
2021-09-10,2021-09-10,adfExplorer,17,68
2021-09-10,2021-09-10,ADGofTest,129,198
2021-09-10,2021-09-10,adheRenceRX,16,24
2021-09-10,2021-09-10,AdhereR,17,27
2021-09-10,2021-09-10,AdhereRViz,14,23
2021-09-10,2021-09-10,adhoc,14,30
2021-09-10,2021-09-10,adimpro,16,37
2021-09-10,2021-09-10,adiv,20,42
2021-09-10,2021-09-10,AdjBQR,14,25
2021-09-10,2021-09-10,adjclust,17,30
2021-09-10,2021-09-10,adjustedcranlogs,14,24
2021-09-10,2021-09-10,adklakedata,16,23
2021-09-10,2021-09-10,adlift,27,40
2021-09-10,2021-09-10,admisc,102,172
2021-09-10,2021-09-10,AdMit,20,36
2021-09-10,2021-09-10,admix,9,16
2021-09-10,2021-09-10,admixr,16,23
